# BEGIN METADATA
beam=ppbar
process=uemb-soft
energy=1800
params=-
specific=-
generator=pythia8
version=8.145
tune=tune-4c
nevts=100
seed=345
crosssection=58212829574.7549
rivet=1.8.2
revision=%revision%
observable=avgpt-vs-nch
cuts=cdf1
# END METADATA

# BEGIN HISTOGRAM /CDF_2002_S4796047/d04-x01-y01
AidaPath=/CDF_2002_S4796047/d04-x01-y01
0.5	1	1.5	0.637576	0.0488538	0.0488538
1.5	2	2.5	0.619651	0.0666587	0.0666587
2.5	3	3.5	0.684766	0.0555527	0.0555527
3.5	4	4.5	0.705495	0.0926098	0.0926098
4.5	5	5.5	0.942413	0.115751	0.115751
5.5	6	6.5	0.609948	0.0777254	0.0777254
6.5	7	7.5	0.705762	0.0380454	0.0380454
7.5	8	8.5	1.00262	0.0869155	0.0869155
8.5	9	9.5	0.915781	0.0735118	0.0735118
9.5	10	10.5	0.879818	0.125826	0.125826
10.5	11	11.5	1.22467	0.270017	0.270017
11.5	12	12.5	0.711542	0.0595037	0.0595037
12.5	13	13.5	0	0	0
13.5	14	14.5	0	0	0
14.5	15	15.5	0.792405	0.0654555	0.0654555
15.5	16	16.5	0	0	0
16.5	17	17.5	0	0	0
17.5	18	18.5	0	0	0
18.5	19	19.5	0	0	0
19.5	20	20.5	0	0	0
20.5	21	21.5	0	0	0
21.5	22	22.5	0	0	0
22.5	23	23.5	0	0	0
23.5	24	24.5	0	0	0
24.5	25	25.5	0	0	0
# END HISTOGRAM

# BEGIN PROFILESTATS /CDF_2002_S4796047/d04-x01-y01
AidaPath=/CDF_2002_S4796047/d04-x01-y01
0.5	1	1.5	12	12	12	12	12	7.65090772134244	5.19307639855552	5.19307639855552
1.5	2	2.5	12	12	12	24	48	7.43581508897388	5.19413909645009	5.19413909645009
2.5	3	3.5	36	36	36	108	324	24.6515817586027	20.7690528897586	20.7690528897586
3.5	4	4.5	20	20	20	80	320	14.109906679972	13.2135734091612	13.2135734091612
4.5	5	5.5	35	35	35	175	875	32.9844665141599	47.0289852821513	47.0289852821513
5.5	6	6.5	6	6	6	36	216	3.65968777209534	2.41345619401726	2.41345619401726
6.5	7	7.5	42	42	42	294	2058	29.6419928759212	23.4127038919013	23.4127038919013
7.5	8	8.5	32	32	32	256	2048	32.0837464996751	39.6615743662112	39.6615743662112
8.5	9	9.5	63	63	63	567	5103	57.6941915006422	73.9431993284437	73.9431993284437
9.5	10	10.5	20	20	20	200	2000	17.5963612062127	21.4977863868009	21.4977863868009
10.5	11	11.5	11	11	11	121	1331	13.4714065772486	24.5180529000729	24.5180529000729
11.5	12	12.5	24	24	24	288	3456	17.0770067450768	14.1054663877613	14.1054663877613
12.5	13	13.5	0	0	0	0	0	0	0	0
13.5	14	14.5	0	0	0	0	0	0	0	0
14.5	15	15.5	30	30	30	450	6750	23.7721531220154	22.5646268545152	22.5646268545152
15.5	16	16.5	0	0	0	0	0	0	0	0
16.5	17	17.5	0	0	0	0	0	0	0	0
17.5	18	18.5	0	0	0	0	0	0	0	0
18.5	19	19.5	0	0	0	0	0	0	0	0
19.5	20	20.5	0	0	0	0	0	0	0	0
20.5	21	21.5	0	0	0	0	0	0	0	0
21.5	22	22.5	0	0	0	0	0	0	0	0
22.5	23	23.5	0	0	0	0	0	0	0	0
23.5	24	24.5	0	0	0	0	0	0	0	0
24.5	25	25.5	0	0	0	0	0	0	0	0
# END PROFILESTATS

# BEGIN PLOT /CDF_2002_S4796047/d04-x01-y01
Title=$\langle p_\perp \rangle$ vs. multiplicity at $\sqrt{s} = 1800~\text{GeV}$, $|\eta| < 1$, $p_T > 0.4~\text{GeV}$
XLabel=$N_\text{ch}$
YLabel=$\langle p_T \rangle$
LogY=0
LegendXPos=0.10
ShowZero=0
# END PLOT
