# BEGIN METADATA
beam=ppbar
process=uemb-soft
energy=1800
params=-
specific=-
generator=pythia8
version=8.145
tune=tune-4c
nevts=100
seed=345
crosssection=58212829574.7549
rivet=1.8.2
revision=%revision%
observable=pt
cuts=cdf1
# END METADATA

# BEGIN HISTOGRAM /CDF_1988_S1865951/d01-x01-y01
AidaPath=/CDF_1988_S1865951/d01-x01-y01
0.4	0.425	0.45	46.0677	7.11236	7.11236
0.45	0.475	0.5	28.4395	5.2836	5.2836
0.5	0.525	0.55	34.6821	5.55562	5.55562
0.55	0.575	0.6	24.1467	4.41001	4.41001
0.6	0.625	0.65	18.5679	3.71429	3.71429
0.65	0.675	0.7	18.4608	3.55348	3.55348
0.7	0.725	0.75	11.5226	2.71649	2.71649
0.75	0.775	0.8	11.4055	2.61709	2.61709
0.8	0.825	0.85	2.84041	1.27039	1.27039
0.85	0.875	0.9	5.8478	1.76332	1.76332
0.9	0.925	0.95	6.52658	1.81032	1.81032
0.95	0.98125	1.0125	3.38045	1.12699	1.12699
1.0125	1.05625	1.1	3.51073	0.93853	0.93853
1.1	1.15	1.2	2.22872	0.672278	0.672278
1.2	1.25	1.3	1.67876	0.559683	0.559683
1.3	1.35	1.4	1.56256	0.520936	0.520936
1.4	1.45	1.5	1.28561	0.454656	0.454656
1.5	1.55	1.6	0.604097	0.302061	0.302061
1.6	1.65	1.7	0.412502	0.238158	0.238158
1.7	1.75	1.8	0.264037	0.186706	0.186706
1.8	1.85	1.9	0.1238	0.1238	0.1238
1.9	1.95	2	0.239947	0.169686	0.169686
2	2.05	2.1	0.225662	0.159567	0.159567
2.1	2.15	2.2	0.109435	0.109435	0.109435
2.2	2.25	2.3	0.207434	0.146686	0.146686
2.3	2.35	2.4	0	0	0
2.4	2.45	2.5	0.188656	0.133417	0.133417
2.5	2.55	2.6	0.180878	0.127903	0.127903
2.6	2.65	2.7	0	0	0
2.7	2.75	2.8	0	0	0
2.8	2.85	2.9	0	0	0
2.9	2.9625	3.025	0	0	0
3.025	3.1125	3.2	0.0435846	0.0435846	0.0435846
3.2	3.3	3.4	0.0359675	0.0359675	0.0359675
3.4	3.5	3.6	0.0331572	0.0331572	0.0331572
3.6	3.7	3.8	0.0321259	0.0321259	0.0321259
3.8	3.9	4	0	0	0
4	4.1	4.2	0	0	0
4.2	4.3	4.4	0	0	0
4.4	4.5	4.6	0	0	0
4.6	4.7	4.8	0	0	0
4.8	4.925	5.05	0	0	0
5.05	5.225	5.4	0	0	0
5.4	5.6	5.8	0	0	0
5.8	6	6.2	0	0	0
6.2	6.4	6.6	0	0	0
6.6	6.875	7.15	0	0	0
7.15	7.7	8.25	0	0	0
8.25	9	9.75	0	0	0
# END HISTOGRAM

# BEGIN HISTOSTATS /CDF_1988_S1865951/d01-x01-y01
AidaPath=/CDF_1988_S1865951/d01-x01-y01
0.4	0.425	0.45	42	2.30338444040359	0.126464105911841	0.972810255709773	0.411317515592721
0.45	0.475	0.5	29	1.42197619225835	0.0697909730233217	0.671702319418653	0.317597559417334
0.5	0.525	0.55	39	1.73410540657363	0.0771621838969105	0.903323808873361	0.470902215093464
0.55	0.575	0.6	30	1.20733460007009	0.0486204153831119	0.694864468364124	0.400180759310426
0.6	0.625	0.65	25	0.928394853817565	0.0344899539197789	0.57905372363677	0.361305127445298
0.65	0.675	0.7	27	0.923039950910107	0.0315679755319708	0.625378021527711	0.423871098803755
0.7	0.725	0.75	18	0.576131915817212	0.0184482465369398	0.416918681018474	0.301831537153608
0.75	0.775	0.8	19	0.570274873309147	0.0171228988996004	0.440080829963945	0.33973812455091
0.8	0.825	0.85	5	0.142020737416523	0.00403469781291066	0.115810744727354	0.0944547774523986
0.85	0.875	0.9	11	0.292389989302486	0.00777322406383905	0.254783638400179	0.222049144789518
0.9	0.925	0.95	13	0.326329159454564	0.00819317191719521	0.30110793629112	0.277889638331257
0.95	0.98125	1.0125	9	0.211278296219742	0.00496133744916748	0.208459340509237	0.205739486003393
1.0125	1.05625	1.1	14	0.307188758003812	0.00674391629125387	0.324270085236591	0.342482813942793
1.1	1.15	1.2	11	0.222872126102875	0.00451957419144588	0.254783638400179	0.291520641451449
1.2	1.25	1.3	9	0.167876184619643	0.0031324534242297	0.208459340509237	0.258943212494209
1.3	1.35	1.4	9	0.156256292340321	0.00271374159540074	0.208459340509237	0.278189949168932
1.4	1.45	1.5	8	0.128561354556792	0.00206711979854168	0.185297191563766	0.267215811906133
1.5	1.55	1.6	4	0.0604097375135081	0.000912411160400247	0.0926485957818832	0.142104259350019
1.6	1.65	1.7	3	0.041250228747095	0.00056719439233381	0.0694864468364124	0.117050779186936
1.7	1.75	1.8	2	0.0264037336069894	0.000348591665376583	0.0463242978909416	0.0812771861278581
1.8	1.85	1.9	1	0.0123800319402392	0.000153265190841344	0.0231621489454708	0.0433347140267399
1.9	1.95	2	2	0.0239947324708861	0.000287933341475052	0.0463242978909416	0.0894523854822782
2	2.05	2.1	2	0.0225661573655578	0.000254616984915064	0.0463242978909416	0.0950959937211289
2.1	2.15	2.2	1	0.0109434661022179	0.000119759450330392	0.0231621489454708	0.0490233294242531
2.2	2.25	2.3	2	0.0207433954548559	0.000215167435569713	0.0463242978909416	0.103462911458607
2.3	2.35	2.4	0	0	0	0	0
2.4	2.45	2.5	2	0.0188655521931455	0.000178001439721875	0.0463242978909416	0.113779145495043
2.5	2.55	2.6	2	0.0180878112117509	0.00016359297852789	0.0463242978909416	0.118646327099753
2.6	2.65	2.7	0	0	0	0	0
2.7	2.75	2.8	0	0	0	0	0
2.8	2.85	2.9	0	0	0	0	0
2.9	2.9625	3.025	0	0	0	0	0
